"Citation","PubData"
"Webster and Frandsen 1994","Webster, P. and F. Frandsen (1994). ""Prevalence of antibodies to Borrelia burgdorferi in Danish deer."" Apmis 102(4): 287-290."
"Wehinger et al. 1995","Wehinger, K. A., M. E. Roelke, and E. C. Greiner. 1995. Ixodid ticks from panthers and bobcats in Florida. Journal of Wildlife Diseases 31:480-485."
"Weiler et al. 1995","Weiler, G. J., G. W. Garner, and D. G. Ritter. 1995. Occurrence of rabies in a wolf population in northeastern Alaska. Journal of Wildlife Diseases 31:79-82."
"Weinman 1972","Weinman, D. 1972. Trypanosoma Cyclops N. SP.: A Pigmented Trypanosome From the Malaysian Primates Macaca Nemestrina and M. Ira. Transactions of the Royal Society of Tropical Medicine and Hygeine 66:628- 636."
"Weiser et al. 2003","Weiser, G.C., DeLong, W.J., Paz, J.L., Shafii, B., Price, W.J., Ward, A.C.S. (2003) Characterization of Pasteurella multocida associated with pneumonia in bighorn sheep. Journal of Wildlife diseases 39: 536-544."
"Welch et al 1991","Welch, D. A., W. M. Samuel, et al. (1991). ""Suitability of Moose Elk Mule Deer and White-Tailed Deer as Hosts for Winter Ticks Dermacentor-Albipictus."" Canadian Journal of Zoology 69(9): 2300-2305."
"Wen et al. 2003","Wen, B., Cao, W., Pan, H. (2003) Ehrlichiae and Ehrlichial diseases in China. Annals of the New York Academy of Sciences 990: 45-53."
"Wenz-Mucke et al. 2013","Wenz-Mucke A, Sithithaworn P, Petney TN, Taraschewski H. 2013. Human contact influences the foraging behaviour and parasite community in long-tailed macaques. 709-718."
"Wenz et a., 2010","Wenz, A., Heymann, E.W., Petney, T.N., and Taraschewski, H.F. 2010. The influence of human settlements on the parasite community in two species of Peruvian tamarin. Parasitology 137: 675-684."
"Wesemeier and Sedlaczek 1995a","Wesemeier, H. H. and J. Sedlaczek (1995). ""One known Sarcocystis species and two found for the first time in red deer and wapiti (Cervus elaphus) in Europe."" Applied Parasitology 36(4): 245-251."
"Wesemeier and Sedlaczek 1995b","Wesemeier, H. H. and J. Sedlaczek (1995). ""One known Sarcocystis species and one found for the first time in fallow deer (Dama dama)."" Applied Parasitology 36(4): 299-302."
"Wesemeier et al. 1995","Wesemeier, H. H., K. Odening, G. Walter, and I. Bockhardt. 1995. The black-backed jackal (Carnivora, Canidae) in Namibia as intermediate host of 2 Sarcocystis species (Protozoa, Sarcocystidae). Parasite-Journal de la Societe Francaise de Parasitologie 2:391-394."
"Wesonga et al. 2006","Wesonga, F. D., Orinda, G. O., Ngae, G. N., and Grootenhuis, J. (2006). Comparative tick counts on game, cattle and sheep on a working game ranch in Kenya.¬†Tropical Animal Health and Production,¬†38(1), 35-42."
"West et al. 2013","West, K.A., E.W. Heymann, B. Mueller, and T.R. Gillespie. 2013. Patterns of infection with Cryptosporidium sp. and Giardia sp. in three species of free-ranging primates in the Peruvian Amazon. International Journal of Primatology."
"Westrom and Anderson 1992","Westrom, D. R. and J. R. Anderson (1992). ""The distribution and seasonal abundance of deer keds (Diptera: Hippoboscidae) on Columbian black-tailed deer (Odocoileus hemionus columbianus) in northern California."" Bulletin of the Society for Vector Ecology 17(1): 57-69."
"Westrom et al 1985","Westrom, D. R., R. S. Lane, et al. (1985). ìIxodes-Pacificus Acari Ixodidae Population Dynamics and Distribution on Columbian Black-Tailed Deer Odocoileus-Hemionus-Columbianus.""ù Journal of Medical Entomology 22(5): 507-511."
"Wevers et al. 2011","Wevers, D., Metzger, S., Babweteera, F., Bieberbach, M., Boesch, C., Cameron, K., Couacy-Hymann, E., Cranfield, M., Gray, M., Harris, L.A., Head, J., Jeffery, K., Knauf, S., Lankester, F., Leendertz, S.A.J., Lonsdorf, E., Mugisha, L., Nitsche, A., Reed, P., Robbins, M., Travis, D.A., Zommers, Z., Leendertz, F.H., and Ehlers, B. 2011. Novel Adenoviruses in Wild Primates: a High Level of Genetic Diversity and Evidence of Zoonotic Transmissions. Journal of Virology 85(20): 10774-10784."
"Weyher 2009","Weyher, A. H. 2009. Crop raiding: the influence of behavioral and nutritional changes on primate-parasite relationships, Pages 403-422 in M. A. Huffman, and C. A. Chapman, eds. Primate Parasite Ecology. Cambridge, Cambridge University Press."
"Weyher et al. 2006","Weyher, A., C. Ross, and S. Semple. 2006. Gastrointestinal Parasites in Crop Raiding and Wild Foraging Papio anubis in Nigeria. International Journal of Primatology 27:1519-1534."
"Whitby et al. 1997","Whitby, J. E., P. Johnstone, and C. SilleroZubiri. 1997. Rabies virus in the decomposed brain of an Ethiopian wolf detected by nested reverse transcription-polymerase chain reaction. Journal of Wildlife Diseases 33:912-915."
"Whitlaw and Lankester 1994","Whitlaw Heather, A. and W. Lankester Murray (1994). ""The co-occurrence of moose, white-tailed deer, and Parelaphostrongylus tenuis in Ontario."" Canadian Journal of Zoology 72(5): 819-825."
"Whittier et al. 2010","Whittier, C.A., Cranfield, M.R., and Stoskopf, M.K. 2011. Real-time PCR detection of Campylobacter spp. in free-ranging mountain gorillas (Gorilla beringei beringei). Journal of Wildlife Diseases 46(3): 791-802."
"Wild et al. 2006","Wild, M. A., T. M. Shenk and T. R. Spraker. 2006. Plague as a mortality factor in canada lynx (lynx canadensis) reintroduced to colorado. Journal of Wildlife Diseases 42: 646-650"
"Wilkinson et al. 2000","Wilkinson, D., G. C. Smith, R. J. Delahay, L. M. Rogers, C. L. Cheeseman, and R. S. Clifton-Hadley. 2000. The effects of bovine tuberculosis (Mycobacterium bovis) on mortality in a badger (Meles meles) population in England. Journal of Zoology 250:389-395."
"Willi et al. 2007","Willi, B., C. Filoni, J. L. Catao-Dias, V. Cattori, M. L. Meli, A. Vargas, F. Martinez, M. E. Roelke, M. P. Ryser-Degiorgis, C. M. Leutenegger, H. Lutz and R. Hofmann-Lehmann. 2007. Worldwide occurrence of feline hernoplasma infections in wild felid species. Journal of Clinical Microbiology 45: 1159-1166"
"Williams et al 1985","Williams, E. S., J. C. Demartini, et al. (1985). ""Lymphocyte Blastogenesis Complement Fixation and Fecal Culture as Diagnostic Tests for Paratuberculosis in North American Wild Ruminants and Domestic Sheep."" American Journal of Veterinary Research 46(11): 2317-2321."
"Williams et al 1993","Williams, E. S., E. T. Thorne, et al. (1993). ""Brucellosis in free-ranging bison (Bison bison) from Teton County, Wyoming."" Journal of Wildlife Diseases 29(1): 118-122."
"Williams et al. 2002","Williams, J.H., Espie, I., Van Wilpe, E., Matthee, A. (2002) Neosporosis in a white rhinoceros (Ceratotherium simum) calf.. Acta Tropica 73: 38-43."
"Williams et al. 2005","Williams, J. H., E. Van Wilpe and M. Momberg. 2005. Renal medullary aa amyloidosis, hepatocyte dissociation and multinucleated hepatocytes in a 14-year-old free-ranging lioness (panthera leo). Journal of the South African Veterinary Association-Tydskrif Van Die Suid-Afrikaanse Veterinere Vereniging 76: 90-98"
"Williams et al. 2008","Williams, J. M., E. V. Lonsdorf, M. L. Wilson, J. Schumacher-Stankey, J. Goodall, and A. E. Pusey. 2008. Causes of death in the Kasekela chimpanzees of Gombe National Park, Tanzania. Am J Primatol."
"Willingham et al. 1996","Willingham, A. L., N. W. Ockens, C. M. O. Kapel, and J. Monrad. 1996. A helminthological survey of wild red foxes (Vulpes vulpes) from the metropolitan area of Copenhagen. Journal of Helminthology 70:259-263."
"Wilson and Zarnke 1985","Wilson, N., and Zarnke, R. L. (1985). Occurrence of the ear canker mite, Otodectes cynotis (Hering), on the wolverine, Gulo gulo (L.). Journal of wildlife diseases, 21(2), 180-180."
"Wilson et al 1988","Wilson, M. L., T. S. Litwin, et al. (1988). Microgeographic Distribution of Deer and of Ixodes-Dammini Options for Reducing the Risk of Lyme Disease. Annals of the New York Academy of Sciences, Vol. 539. Lyme Disease and Related Disorders; International Conference, New York, New York, USA, September 14-16, 1987. Xiv+513p. New York Academy of Sciences: New York, New York, USA. Illus. Maps. Paper. . 1988. 437-439."
"Wilson et al 1990a","Wilson, M. L., A. M. Ducey, et al. (1990a). ""Microgeographic Distribution of Immature Ixodes-Dammini Ticks Correlated with That of Deer."" Medical and Veterinary Entomology 4(2): 151-160."
"Wilson et al 1990b","Wilson, M. L., T. S. Litwin, et al. (1990b). ""Host-Dependent Differences in Feeding and Reproduction of Ixodes-Dammini Acari Ixodidae."" Journal of Medical Entomology 27(6): 945-954."
"Winder et al. 2006","Winder, C. L., S. V. Gordon, J. Dale, R. G. Hewinson and R. Goodacre. 2006. Metabolic fingerprints of mycobacterium bovis cluster with molecular type: Implications for genotype-phenotype links. Microbiology-Sgm 152: 2757-2765"
"Wisely et al. 2008","Wisely, S. M., J. Howard, S. A. Williams, O. Bain, R. M. Santymire, K. D. Bardsley and E. S. Williams. 2008. An unidentified filarial species and its impact on fitness in wild populations of the black-footed ferret (mustela nigripes). Journal of Wildlife Diseases 44: 53-64"
"Wisnivesky-Colli et al. 1992","Wisniveskycolli, C., N. J. Schweigmann, A. Alberti, S. M. Pietrokovsky, O. Conti, S. Montoya, A. Riarte et al. 1992. Sylvatic American Trypanosomiasis in Argentina - Trypanosoma cruzi infection in mammals from the Chaco Forest in Santiago del Estero. Transactions of the Royal Society of Tropical Medicine and Hygiene 86:38-41."
"Witmer et al. 2010","Witmer, G., A. E. Fine, J. Gionfriddo, M. Pipes, K. Shively, K. Piccolo and P. Burke. 2010. Epizootiologic survey of mycobacterium bovis in wildlife and farm environments in northern michigan. Journal of Wildlife Diseases 46: 368-378"
"Wittmann et al. 2007","Wittmann, T. J., R. Biek, A. Hassanin, P. Rouquet, P. Reed, P. Yaba, X. Pourrut, L. A. Real, J. P. Gonzalez, and E. M. Leroy. 2007. Isolates of Zaire ebolavirus from wild apes reveal genetic lineage and recombinants. Proc. Natl. Acad. Sci. USA 104:17123‚Äì17127."
"Wixsom et al. 1991","Wixsom, M. J., S. P. Green, R. M. Corwin, and E. K. Fritzell. 1991. Dirofilaria-Immitis in Coyotes and Foxes in Missouri. Journal of Wildlife Diseases 27:166-169."
"Wobeser et al 1985","Wobeser, G., A. A. Gajadhar, et al. (1985). ""Fascioloides-Magna New-Record Occurrence in Saskatchewan and Distribution in Canada."" Canadian Veterinary Journal 26(8): 241-244."
"Wolfe et al 2002","Wolfe, L., L., M. Conner Mary, et al. (2002). ""Evaluation of antemortem sampling to estimate chronic wasting disease prevalence in free-ranging mule deer."" Journal of Wildlife Management 66(3): 564-573."
"Wolfe et al. 1998","Wolfe, N. D., A. A. Escalante, W. B. Karesh, A. Kilbourn, A. Spielman, and A. A. Lal. 1998. Wild primate populations in emerging infectious disease research: The missing link? Emerging Infectious Diseases 4:149-158."
"Wolfe et al. 2001a","Wolfe, A., S. Hogan, D. Maguire, C. Fitzpatrick, L. Vaughan, D. Wall, T. J. Hayden and G. Mulcahy. 2001. Red foxes (vulpes vulpes) in ireland as hosts for parasites of potential zoonotic and veterinary significance. Veterinary Record 149: 759-763"
"Wolfe et al. 2001b","Wolfe, N. D., A. M. Kilbourn, W. B. Karesh, H. A. Rahman, E. J. Bosi, B. C. Cropp, M. Andau et al. 2001. Sylvatic transmission of arboviruses among Bornean orangutans. American Journal of Tropical Medicine and Hygiene 64:310-316."
"Woodroffe et al. 2005","Woodroffe, R., C. A. Donnelly, W. T. Johnston, F. J. Bourne, C. L. Cheeseman, R. S. Clifton-Hadley, D. R. Cox, G. Gettinby, R. G. Hewinson, A. M. Le Fevre, J. P. McInerney and W. I. Morrison. 2005. Spatial association of mycobacterium bovis infection in cattle and badgers meles meles. Journal of Applied Ecology 42: 852-862"
"Woods et al 1997","Woods Leslie, W., S. Hanley Richard, et al. (1997). ""Experimental adenovirus hemorrhagic disease in yearling black-tailed deer."" Journal of Wildlife Diseases 33(4): 801-811."
"Woods et al. 1995","Woods, R., D. V. Cousins, R. Kirkwood, and D. L. Obendorf. 1995. Tuberculosis in a wild australian fur-seal (Arctocephalus pusillus doriferus) from Tasmania. Journal of Wildlife Diseases 31:83-86."
"Worley et al. 1990","Worley, D. E., D. S. Zarlenga, and F. M. Seesee. 1990. Freezing resistance of a Trichinella spiralis nativa isolate from a gray wolf, Canis lupus, in Montana, with observations on genetic and biological characteristics of the biotype. Journal of the Helminthological Society of Washington 57:57-60."
"Wrangham 1995","Wrangham, R. W. 1995. Relationship of Chimpanzee Leaf-Swallowing to a Tapeworm Infection. American Journal of Primatology 37:297-303."
"Wren et al. 2015","Wren, B. T., Gillespie, T. R., Camp, J. W. and J. R. Melissa. 2015. Helminths of Vervet Monkeys, Chlorocebus aethiops, from Loskop Dam Nature Reserve, South Africa 82:101-108."
"Wright 1985","Wright, F. C. (1985) Tricholipeurus balanicus balanicus (Werneck, 1938) (Mallophaga, Trichodectidae) on blackbuck antelope (Antilope cervicapra L.) in Texas. Journal of Wildlife Diseases, 21: 68"
"Wright and Glaze 1988","Wright, F. C. and R. L. Glaze (1988) Blackbuck antelope (Antilope cervicapra), a new host for Psoroptes cuniculi (Acari: Psoroptidae).  Journal of Wildllife Diseases, 24: 168-169"
"Wright et al. 2009","Wright, P. C., S. J. Arrigo-Nelson, K. L. Hogg, B. Bannon, T. L. Morelli, J. Wyatt, A. L. Harivelo et al. 2009. Habitat disturbance and seasonal fluctuation of lemur parasites in the rain forest of Ranomafana National Park, Madagascar, Pages 311-330 in M. A. Huffman, and C. A. Chapman, eds. Primate Parasite Ecology. Cambridge, Cambridge University Press"
"Wyers et al. 1999","Wyers, M., P. Formenty, Y. Cherel, L. Guigand, B. Fernandez, C. Boesch, and B. Le Guenno. 1999. Histopathological and immunohistochemical studies of lesions associated with Ebola virus in a naturally infected chimpanzee. Journal of Infectious Diseases 179:S54-S59."
"Xiao and Gibbs1991","Xiao, L. and H. C. Gibbs (1991). ""Abomasal Nematodes from White-Tailed Deer Odocoileus-Virginianus in Maine USA."" Journal of the Helminthological Society of Washington 58(2): 198-201."
"Xiao et al. 2005","Xiao, N., J. M. Qiu, M. Nakao, T. Y. Li, W. Yang, X. W. Chen, P. M. Schantz, P. S. Craig and A. Ito. 2005. Echinococcus shiquicus n. Sp., a taeniid cestode from tibetan fox and plateau pika in china. International Journal for Parasitology 35: 693-701"
"Yabsley and Noblet 2002","Yabsley, M. J. and G. P. Noblet. 2002. Seroprevalence of trypanosoma cruzi in raccoons from south carolina and georgia. Journal of Wildlife Diseases 38: 75-83"
"Yabsley and Pittman Noblet 1999","Yabsley, M. J., and G. P. Noblet. 1999. Nematodes and acanthocephalans of raccoons (Procyon lotor), with a new geographical record for Centrorhynchus conspectus (Acanthocephala) in South Carolina, USA. Journal of the Helminthological Society of Washington 66:111-114."
"Yabsley et al 2002","Yabsley, M., J., S. Varela Andrea, et al. (2002). ""Ehrlichia ewingii infection in white-tailed deer (Odocoileus virginianus)."" Emerging Infectious Diseases 8(7): 668-671."
"Yabsley et al 2005a","Yabsley, M.J., Davidson, W.R., Stallknecht, D.E., Varela, A.S., Swift, P.K., Devos Jr., J.C., Dubay, S.A. (2005) Evidence of tick-borne organisms in mule deer (Odocoileus hemionus) from the Western United States. VECTOR-BORNE AND ZOONOTIC DISEASES 5: 351-362."
"Yabsley et al. 2001","Yabsley, M. J., G. P. Noblet, and O. J. Pung. 2001. Comparison of serological methods and blood culture for detection of Trypanosoma cruzi infection in raccoons (Procyon lotor). Journal of Parasitology 87:1155-1159."
"Yabsley et al. 2005a","Yabsley, M.J., Davidson, W.R., Stallknecht, D.E., Varela, A.S., Swift, P.K., Devos Jr., J.C., Dubay, S.A. (2005) Evidence of tick-borne organisms in mule deer (Odocoileus hemionus) from the Western United States. VECTOR-BORNE AND ZOONOTIC DISEASES 5: 351-362."
"Yabsley et al. 2006","Yabsley, M. J., S. M. Murphy and M. W. Cunningham. 2006. Molecular detection and characterization of cytauxzoon felis and a babesia species in cougars from florida. Journal of Wildlife Diseases 42: 366-374"
"Yabsley et al. 2008b","Yabsley, M. J., S. M. Murphy, M. P. Luttrell, S. E. Little, R. F. Massung, D. E. Stallknecht, L. A. Conti, C. G. M. Blackmore and L. A. Durden. 2008. Experimental and field studies on the suitability of raccoons (procyon lotor) as hosts for tick-borne pathogens. Vector-Borne and Zoonotic Diseases 8: 491-503"
"Yabsley et al. 2009a","Yabsley, M. J., T. N. Nims, M. Y. Savage and L. A. Durden. 2009. Ticks and tick-borne pathogens and putative symbionts of black bears (ursus americanus floridanus) from georgia and florida. Journal of Parasitology 95: 1125-1128"
"Yagi et al 1994","Yagi, K., O. Bain, et al. (1994). ""Onchocerca suzukii n. sp. and O. skrjabini (equal O. tarsicola) from a relict bovid, Capricornis crispus, in Japan."" Parasite 1(4): 349-356."
